Variable,Description,Variable type
Subject,ID of the subject measured,Character
Activity,"6 Activitiesmeasured - ""WALKING"", ""WALKING_UPSTAIRS"", ""WALKING_DOWNSTAIRS"", ""SITTING"",""STANDING"",""LAYING""",Character
tBodyAcc.mean...X,Mean Body Acceleration X Axis,Numeric
tBodyAcc.mean...Y,Mean Body Acceleration Y Axis,Numeric
tBodyAcc.mean...Z,Mean Body Acceleration Z Axis,Numeric
tGravityAcc.mean...X,Mean Gravity Acceleration X Axis,Numeric
tGravityAcc.mean...Y,Mean Gravity Acceleration Y Axis,Numeric
tGravityAcc.mean...Z,Mean Gravity Acceleration Z Axis,Numeric
tBodyAccJerk.mean...X,Mean Body Acceleration Jerk X Axis,Numeric
tBodyAccJerk.mean...Y,Mean Body Acceleration Jerk Y Axis,Numeric
tBodyAccJerk.mean...Z,Mean Body Acceleration Jerk Z Axis,Numeric
tBodyGyro.mean...X,Mean Body Gyro  X Axis,Numeric
tBodyGyro.mean...Y,Mean Body Gyro  Y Axis,Numeric
tBodyGyro.mean...Z,Mean Body Gyro  Z Axis,Numeric
tBodyGyroJerk.mean...X,Mean Body Gyro Jerk  X Axis,Numeric
tBodyGyroJerk.mean...Y,Mean Body Gyro Jerk  Y Axis,Numeric
tBodyGyroJerk.mean...Z,Mean Body Gyro Jerk  Z Axis,Numeric
tBodyAccMag.mean..,Mean Body Acceleration Mag,Numeric
tGravityAccMag.mean..,Mean Gravity Acceleration Mag,Numeric
tBodyAccJerkMag.mean..,Mean Body Acceleration Jerk Mag,Numeric
tBodyGyroMag.mean..,Mean Body Gyro Mag,Numeric
tBodyGyroJerkMag.mean..,Mean Body Gyro Jerk Mag,Numeric
fBodyAcc.mean...X,Mean f body acceleration  X Axis,Numeric
fBodyAcc.mean...Y,Mean f body acceleration  Y Axis,Numeric
fBodyAcc.mean...Z,Mean f body acceleration  Z Axis,Numeric
fBodyAcc.meanFreq...X,Mean f body acceleration meanFreq  X Axis,Numeric
fBodyAcc.meanFreq...Y,Mean f body acceleration meanFreq  Y Axis,Numeric
fBodyAcc.meanFreq...Z,Mean f body acceleration meanFreq  Z Axis,Numeric
fBodyAccJerk.mean...X,Mean f body acceleration jerk  X Axis,Numeric
fBodyAccJerk.mean...Y,Mean f body acceleration jerk  Y Axis,Numeric
fBodyAccJerk.mean...Z,Mean f body acceleration jerk  Z Axis,Numeric
fBodyAccJerk.meanFreq...X,Mean f body acceleration jerk meanFreq  X Axis,Numeric
fBodyAccJerk.meanFreq...Y,Mean f body acceleration jerk meanFreq  Y Axis,Numeric
fBodyAccJerk.meanFreq...Z,Mean f body acceleration jerk meanFreq  Z Axis,Numeric
fBodyGyro.mean...X,Mean f body Gyro.mean  X Axis,Numeric
fBodyGyro.mean...Y,Mean f body Gyro.mean  Y Axis,Numeric
fBodyGyro.mean...Z,Mean f body Gyro.mean  Z Axis,Numeric
fBodyGyro.meanFreq...X,Mean f body Gyro.meanFreq  X Axis,Numeric
fBodyGyro.meanFreq...Y,Mean f body Gyro.meanFreq  Y Axis,Numeric
fBodyGyro.meanFreq...Z,Mean f body Gyro.meanFreq  Z Axis,Numeric
fBodyAccMag.mean..,fBodyAccMag.mean..,Numeric
fBodyAccMag.meanFreq..,fBodyAccMag.meanFreq..,Numeric
fBodyBodyAccJerkMag.mean..,fBodyBodyAccJerkMag.mean..,Numeric
fBodyBodyAccJerkMag.meanFreq..,fBodyBodyAccJerkMag.meanFreq..,Numeric
fBodyBodyGyroMag.mean..,fBodyBodyGyroMag.mean..,Numeric
fBodyBodyGyroMag.meanFreq..,fBodyBodyGyroMag.meanFreq..,Numeric
fBodyBodyGyroJerkMag.mean..,fBodyBodyGyroJerkMag.mean..,Numeric
fBodyBodyGyroJerkMag.meanFreq..,fBodyBodyGyroJerkMag.meanFreq..,Numeric
angle.tBodyAccMean.gravity.,angle.tBodyAccMean.gravity.,Numeric
angle.tBodyAccJerkMean..gravityMean.,angle.tBodyAccJerkMean..gravityMean.,Numeric
angle.tBodyGyroMean.gravityMean.,angle.tBodyGyroMean.gravityMean.,Numeric
angle.tBodyGyroJerkMean.gravityMean.,angle.tBodyGyroJerkMean.gravityMean.,Numeric
angle.X.gravityMean.,angle.X.gravityMean.,Numeric
angle.Y.gravityMean.,angle.Y.gravityMean.,Numeric
angle.Z.gravityMean.,angle.Z.gravityMean.,Numeric
tBodyAcc.std...X,tBodyAcc.std...X,Numeric
tBodyAcc.std...Y,tBodyAcc.std...Y,Numeric
tBodyAcc.std...Z,tBodyAcc.std...Z,Numeric
tGravityAcc.std...X,tGravityAcc.std...X,Numeric
tGravityAcc.std...Y,tGravityAcc.std...Y,Numeric
tGravityAcc.std...Z,tGravityAcc.std...Z,Numeric
tBodyAccJerk.std...X,tBodyAccJerk.std...X,Numeric
tBodyAccJerk.std...Y,tBodyAccJerk.std...Y,Numeric
tBodyAccJerk.std...Z,tBodyAccJerk.std...Z,Numeric
tBodyGyro.std...X,tBodyGyro.std...X,Numeric
tBodyGyro.std...Y,tBodyGyro.std...Y,Numeric
tBodyGyro.std...Z,tBodyGyro.std...Z,Numeric
tBodyGyroJerk.std...X,tBodyGyroJerk.std...X,Numeric
tBodyGyroJerk.std...Y,tBodyGyroJerk.std...Y,Numeric
tBodyGyroJerk.std...Z,tBodyGyroJerk.std...Z,Numeric
tBodyAccMag.std..,tBodyAccMag.std..,Numeric
tGravityAccMag.std..,tGravityAccMag.std..,Numeric
tBodyAccJerkMag.std..,tBodyAccJerkMag.std..,Numeric
tBodyGyroMag.std..,tBodyGyroMag.std..,Numeric
tBodyGyroJerkMag.std..,tBodyGyroJerkMag.std..,Numeric
fBodyAcc.std...X,fBodyAcc.std...X,Numeric
fBodyAcc.std...Y,fBodyAcc.std...Y,Numeric
fBodyAcc.std...Z,fBodyAcc.std...Z,Numeric
fBodyAccJerk.std...X,fBodyAccJerk.std...X,Numeric
fBodyAccJerk.std...Y,fBodyAccJerk.std...Y,Numeric
fBodyAccJerk.std...Z,fBodyAccJerk.std...Z,Numeric
fBodyGyro.std...X,fBodyGyro.std...X,Numeric
fBodyGyro.std...Y,fBodyGyro.std...Y,Numeric
fBodyGyro.std...Z,fBodyGyro.std...Z,Numeric
fBodyAccMag.std..,fBodyAccMag.std..,Numeric
fBodyBodyAccJerkMag.std..,fBodyBodyAccJerkMag.std..,Numeric
fBodyBodyGyroMag.std..,fBodyBodyGyroMag.std..,Numeric
fBodyBodyGyroJerkMag.std..,fBodyBodyGyroJerkMag.std..,Numeric
